decode,layer,n_features,clamp_value,bio_accuracy,mmlu
True,7,10,0,0.5915084390700618,0.6600000000000001
True,7,10,-1,0.5908931086335001,0.6700000000000002
True,7,10,-10,0.5948488048360318,0.6700000000000002
True,7,10,-100,0.5588959214053576,0.64
True,7,10,-1000,0.46958509144149246,0.45
True,7,50,0,0.5948488048360318,0.6500000000000001
True,7,50,-1,0.5883438821080365,0.64
True,7,50,-10,0.5929149087471298,0.6500000000000001
True,7,50,-100,0.4565752461741242,0.4
True,7,50,-1000,0.24349507736631587,0.2700000000000001
True,7,200,0,0.5901019693929938,0.64
True,7,200,-1,0.6059247542031204,0.6400000000000001
True,7,200,-10,0.5764767935004416,0.6100000000000001
True,7,200,-100,0.2589662448514866,0.24000000000000005
True,7,200,-1000,0.23092475420312036,0.24000000000000005
True,7,1000,0,0.5709388188168972,0.59
True,7,1000,-1,0.5723452884939653,0.56
True,7,1000,-10,0.4781118144717398,0.49000000000000005
True,7,1000,-100,0.2393635724541507,0.28000000000000014
True,7,1000,-1000,0.2399789030793347,0.21000000000000002
False,7,10,0,0.7076300986205475,0.73
False,7,10,-1,0.7184423347817191,0.72
False,7,10,-10,0.7136075949367089,0.7100000000000001
False,7,10,-100,0.730573136595231,0.72
False,7,10,-1000,0.6802918428107153,0.5800000000000001
False,7,50,0,0.7019163151330585,0.73
False,7,50,-1,0.7398909986773624,0.72
False,7,50,-10,0.7081575246551369,0.72
False,7,50,-100,0.6751054853578157,0.58
False,7,50,-1000,0.2585267229359361,0.26000000000000006
False,7,200,0,0.7085970466649985,0.73
False,7,200,-1,0.7117616036270238,0.72
False,7,200,-10,0.7244198314751251,0.72
False,7,200,-100,0.42844585093516335,0.31000000000000005
False,7,200,-1000,0.24331926865668235,0.24000000000000005
False,7,1000,0,0.7085970466649985,0.7100000000000001
False,7,1000,-1,0.680907173247277,0.7100000000000001
False,7,1000,-10,0.6862693391268766,0.7299999999999999
False,7,1000,-100,0.23338607594936708,0.25000000000000006
False,7,1000,-1000,0.2510548524464233,0.21000000000000002
True,21,10,0,0.6138361466081836,0.6
True,21,10,-1,0.6068917018703267,0.6
True,21,10,-10,0.6228023910824256,0.5900000000000001
True,21,10,-100,0.6024085796332057,0.5900000000000001
True,21,10,-1000,0.433016877762879,0.56
True,21,50,0,0.6206047821648514,0.6
True,21,50,-1,0.6163853727564027,0.5900000000000001
True,21,50,-10,0.607507032684133,0.6
True,21,50,-100,0.5829817162284369,0.6100000000000001
True,21,50,-1000,0.3479254571131513,0.38
True,21,200,0,0.615066807481307,0.5900000000000001
True,21,200,-1,0.6220112518419193,0.6
True,21,200,-10,0.6108473980728584,0.6100000000000001
True,21,200,-100,0.5092299580574036,0.5200000000000001
True,21,200,-1000,0.23953938116378423,0.20999999999999996
True,21,1000,0,0.6132208157943774,0.5700000000000001
True,21,1000,-1,0.5817510549780689,0.5700000000000001
True,21,1000,-10,0.5375351619116867,0.55
True,21,1000,-100,0.25738396637047395,0.25000000000000006
True,21,1000,-1000,0.23813291139240506,0.22999999999999998
False,21,10,0,0.7139592125445982,0.72
False,21,10,-1,0.7133438821080365,0.72
False,21,10,-10,0.7244198314751251,0.72
False,21,10,-100,0.7180907175510745,0.72
False,21,10,-1000,0.5641701828829849,0.6699999999999999
False,21,50,0,0.7202883264686488,0.72
False,21,50,-1,0.7114978904211069,0.72
False,21,50,-10,0.7242440226711805,0.72
False,21,50,-100,0.6975210972979099,0.6900000000000001
False,21,50,-1000,0.4301160340067707,0.47000000000000003
False,21,200,0,0.7174753871145128,0.73
False,21,200,-1,0.7171237695066235,0.72
False,21,200,-10,0.7202883264686488,0.72
False,21,200,-100,0.679676511996909,0.6000000000000001
False,21,200,-1000,0.26133966257300556,0.2700000000000001
False,21,1000,0,0.7079817162284369,0.7299999999999999
False,21,1000,-1,0.7078059074244921,0.73
False,21,1000,-10,0.7005098454559906,0.7
False,21,1000,-100,0.2419127988853032,0.24
False,21,1000,-1000,0.2412974683544304,0.22000000000000003
True,35,10,0,0.737693389759788,0.7
True,35,10,-1,0.7380450073676773,0.7
True,35,10,-10,0.7364627288866646,0.7
True,35,10,-100,0.7299578061586693,0.7
True,35,10,-1000,0.7252109707156315,0.72
True,35,50,0,0.7319796062722991,0.7
True,35,50,-1,0.7375175809558434,0.7
True,35,50,-10,0.7332981719246393,0.7
True,35,50,-100,0.7335618847533117,0.7
True,35,50,-1000,0.7151019693929938,0.6700000000000002
True,35,200,0,0.7331223631206947,0.7
True,35,200,-1,0.7430555556393876,0.7
True,35,200,-10,0.7253867795195761,0.7
True,35,200,-100,0.7361111112787754,0.7
True,35,200,-1000,0.5777953587755372,0.62
True,35,1000,0,0.7321554150762437,0.7
True,35,1000,-1,0.7345288327977627,0.7
True,35,1000,-10,0.7359353024748307,0.73
True,35,1000,-100,0.6456575246551369,0.57
True,35,1000,-1000,0.24331926865668235,0.13999999999999999
False,35,10,0,0.7201125176647042,0.72
False,35,10,-1,0.7299578061586693,0.72
False,35,10,-10,0.7063994377474242,0.73
False,35,10,-100,0.7085970466649985,0.7100000000000001
False,35,10,-1000,0.7193213784241979,0.6799999999999999
False,35,50,0,0.7369022505192817,0.73
False,35,50,-1,0.7013009846964969,0.73
False,35,50,-10,0.7256504923482484,0.72
False,35,50,-100,0.7264416315887547,0.72
False,35,50,-1000,0.7016526023043862,0.6900000000000001
False,35,200,0,0.7177390999431852,0.73
False,35,200,-1,0.7228375529941125,0.72
False,35,200,-10,0.7188818567915808,0.71
False,35,200,-100,0.7147503517851045,0.73
False,35,200,-1000,0.5584563997727406,0.6200000000000001
False,35,1000,0,0.7049929676931116,0.73
False,35,1000,-1,0.7343530239938181,0.73
False,35,1000,-10,0.7171237695066235,0.6900000000000001
False,35,1000,-100,0.4869022505192817,0.38000000000000006
False,35,1000,-1000,0.2858649790287018,0.15
